average_demand,No_of_energy_intensive_industry,no_of_energy_non_Intensive_Industry,gdp_growth,popultion,max temp,mean temp,min temp,load_share,average_retail_sales
1576.66666667,4240,7304,0.8101,17773.6089971496,72.2666666667,61.2666666667,50.3666666667,9.2879864902,6.09
1637.33333333,4243,7278,1.4347780077,17800.9805982897,84.1,73.6666666667,63.1666666667,9.4103222346,6.24
1700.33333333,4241,7270,3.3684176971,17855.72380057,91.3,82.4333333333,73.5666666667,7.4673185871,6.7133333333
1683.33333333,4268,7264,0.5259373165,17937.8386039904,76.3,65.9666666667,55.6333333333,9.3606925059,6.8033333333
1540,4317,8247,2.2726226914,18047.3250085509,73.5,61.3,49.1,9.2315070136,7.5166666667
1717.33333333,4313,8233,0.9891702559,18138.9855669547,87.8333333333,76.2,64.5333333333,9.2134911835,7.68
1729,4289,8229,0.872825362,18212.8202792018,91,81.3666666667,71.7333333333,7.6866080823,7.87
1590,4283,8193,2.1700753383,18268.8291452921,77.4666666667,66.5666666667,55.7666666667,8.8392261508,7.5866666667
1522.66666667,4442,7380,-0.3853928007,18307.0121652257,73.3333333333,61.9,50.5333333333,8.8728318086,7.66
1585,4443,7433,0.9539276861,18346.6173071088,85.9666666667,74.4333333333,62.9,8.7148564935,7.6033333333
1692.33333333,4464,7460,1.3540639504,18387.6445709415,91.6,82.2,72.7333333333,7.3222089216,7.78
1611,4499,7453,-0.6456886403,18430.0939567236,78.8,68.4666666667,58.1,8.652606703,7.8866666667
1528,4752,8013,-1.9869091662,18473.9654644553,73.6,62,50.3333333333,8.9182879377,7.79
1664,4682,7860,-0.3628084994,18512.8498817658,86.7333333333,75.6,64.4333333333,8.8441641273,8.0466666667
1648,4719,8002,-0.933835441,18546.7472086552,89.4333333333,80.7333333333,72,7.4429808054,8.7166666667
1465.66666667,4767,8071,-2.0284770311,18575.6574451233,76.0333333333,64.9666666667,53.8333333333,8.340604727,8.9733333333
1323,3971,9011,-0.7267342677,18599.5805911703,72.4666666667,59.9333333333,47.4666666667,7.9294362089,9.6033333333
1413.33333333,3974,8950,-1.2862160695,18630.375213121,86.7,76.0333333333,65.3666666667,7.84197677,9.29
1432.66666667,4004,9083,-0.3559645651,18668.0413109752,90.3666666667,81.4333333333,72.5,6.5232898751,9.28
1357.33333333,4014,9149,1.4787007001,18712.5788847331,77.1666666667,67.2333333333,57.3,7.4744396924,8.9733333333
1317.66666667,4703,8972,-0.4173134106,18763.9879343947,66,54.7,43.3666666667,7.270018759,7.9433333333
1479.66666667,4760,9150,1.3515102145,18818.5955805014,87.7666666667,77.1,66.4333333333,8.0651901379,8.6366666667
1487,4784,9159,0.9174211772,18876.4018230533,91.6,82.6,73.5666666667,6.47413105,9.02
1397.33333333,4840,9260,0.7377578975,18937.4066620503,74.9,62.3666666667,49.8333333333,7.8238148563,9.1466666667
1360,4866,9327,-1.7865915699,19001.6100974924,72.9666666667,61.0666666667,49.1333333333,7.9661050042,8.9666666667
1500.66666667,4897,9392,1.4894407969,19065.4282326723,89.3,77.1,64.8666666667,7.7866371482,8.9733333333
1522,4956,9420,0.0312423409,19128.8610675898,91.5333333333,82,72.5,6.6761218253,8.96
1387.66666667,4998,9521,0.7976424785,19191.9086022451,77.3,66.5666666667,55.8,8.2036022544,8.48
1360.66666667,5038,9559,1.2550434798,19254.5708366381,76.1,64.6333333333,53.1333333333,8.3988313238,8.3466666667
1472,5067,9599,0.1766173879,19315.46979574,86.7666666667,76.0333333333,65.2666666667,7.9610600325,8.2933333333
1480.33333333,5110,9724,1.4991935218,19374.6054795509,90.1333333333,81.1333333333,72.1,6.7824307401,8.22
1370,5166,9845,-0.3620626806,19431.9778880707,76.6333333333,65.7666666667,54.9666666667,8.1554091595,7.95
1313,5163,9910,2.0043746013,19487.5870212994,73.3333333333,61.6333333333,49.9333333333,8.203686348,7.6633333333
1447.33333333,5164,9982,0.2921636576,19547.6046660711,85.8,75.5,65.2,7.8446251129,7.65
1467.66666667,5205,10087,1.4596171321,19612.0308223858,89.5666666667,81,72.4333333333,6.7968508799,7.8166666667
1375.66666667,5305,10246,1.8703675132,19680.8654902434,78.4666666667,68.6,58.7333333333,7.7489250643,7.5866666667
1338,5300,10316,0.2600556066,19754.1086696439,71.3333333333,60.2666666667,49.1666666667,7.8318894872,8.0266666667
1440.33333333,5326,10448,1.5916565755,19837.2588735465,86.2333333333,75.6,64.9,7.7555415956,8.0366666667
1483.66666667,5364,10559,1.3966291347,19930.3161019513,90.6,81.4666666667,72.3333333333,6.6599832416,8.1866666667
1374.33333333,5400,10653,1.2386156214,20033.2803548581,76.3666666667,65.2333333333,54.0666666667,7.9282362895,7.96
1317.33333333,5456,10784,2.0095436838,20146.1516322671,72.3666666667,61.5666666667,50.7666666667,7.7516034757,8.38
1448.66666667,5295,10555,1.1235124889,20230.8050903238,88.4,78.1,67.8333333333,7.3624828474,8.2466666667
1470,5395,10735,1.5489574676,20287.2407290283,90.7333333333,81.7333333333,72.7666666667,6.4958977154,8.5233333333
1400.33333333,5461,10904,1.6038007357,20315.4585483806,81.1,72.0666666667,62.9666666667,7.5804327036,8.0733333333
