average_demand,No_of_energy_intensive_industry,no_of_energy_non_Intensive_Industry,gdp_growth,popultion,max temp,mean temp,min temp,load_share,average_retail_sales
3953.66666667,1276,3969,0.0801,6267.8000138836,42.3,34,25.7333333333,45.0577419845,4.1733333333
4044,1262,3913,1.1228137024,6272.1264083302,74.0333333333,62.2,50.3333333333,48.8091406501,4.3966666667
4161.33333333,1266,3921,1.220521138,6280.7791972232,84.2,73.0333333333,61.8333333333,42.63806824,4.5766666667
4083.66666667,1259,3907,0.3665968002,6293.7583805629,51.5,42.1666666667,32.8666666667,47.1736619176,4.4166666667
4097.66666667,1249,3882,1.7275160859,6311.063958349,45.9666666667,37.1666666667,28.3,46.5256225872,4.7266666667
4169,1260,3868,1.0739946657,6326.6282061239,73.2666666667,61.8666666667,50.4333333333,49.9700347597,5.0966666667
4250,1259,3851,1.1598226154,6340.4511238874,80.6,70.5,60.3666666667,44.0125651559,5.13
4010,1259,3823,0.9205533398,6352.5327116396,53.4,44.1666666667,34.8666666667,47.2914537306,4.8333333333
3986.33333333,1277,3828,1.0162383052,6362.8729693804,41.9,33.1333333333,24.3333333333,44.0235597276,4.78
4140.66666667,1282,3817,2.460287889,6373.6994847246,74.5666666667,62.5666666667,50.6333333333,47.7971449459,4.97
4213.33333333,1277,3827,1.3295533398,6385.0122576721,84.7666666667,72.6,60.3666666667,42.6436355049,5.2166666667
4144,1280,3814,0.8528886155,6396.8112882228,54.1,44.9,35.6666666667,47.0463576159,4.93
4084,1286,3820,-0.1209145936,6409.0965763769,40.0666666667,31.5,22.9333333333,43.7680848784,5.0966666667
4100.66666667,1281,3797,0.1283319034,6420.2944610878,72.0333333333,60.8666666667,49.7333333333,49.2001279795,5.3633333333
4117.66666667,1291,3825,-0.4117333101,6430.4049423554,82.1666666667,70.7,59.1666666667,44.0863668808,5.8133333333
3707.33333333,1278,3815,-1.8826995082,6439.4280201798,51.3333333333,41.1,30.9,44.196304391,5.8566666667
3420,1296,3767,-3.603556738,6447.3636945609,42.3333333333,32.6,22.8,40.0765595094,5.8933333333
3411.33333333,1293,3751,-0.470656259,6455.322486489,72.4666666667,61.7,50.9333333333,44.729020979,5.8133333333
3681,1294,3749,1.084801165,6463.304395964,78.7,68.4666666667,58.2,43.1417744267,5.77
3669.33333333,1283,3727,3.3075994713,6471.309422986,50.9333333333,42.4,33.8333333333,44.8062520352,5.5533333333
3678,1266,3675,1.4419332587,6479.337567555,39.1333333333,31.0666666667,23.0666666667,41.254767068,5.6066666667
3855.66666667,1258,3638,2.6341188772,6487.0249983605,76.4333333333,65.2333333333,54.0666666667,46.6185716589,5.7166666667
3934.33333333,1256,3635,1.8622809736,6494.3717154028,84.8666666667,73.0666666667,61.3333333333,40.7886097384,6
3798.66666667,1267,3644,1.0004930777,6501.3777186816,52,41.0333333333,30.0333333333,45.2329919822,6.23
3875,1257,3652,-0.8430856589,6508.0430081971,40.4333333333,32.2,23.9333333333,42.8571428571,6.1933333333
3875,1256,3617,1.185467116,6514.0839207245,72.9,62.4333333333,51.9666666667,47.1545045228,6.2866666667
4006.33333333,1265,3627,1.1460418248,6519.5004562636,82.7333333333,71.8333333333,60.9666666667,41.9804400978,6.4133333333
3902,1279,3640,1.3350346809,6524.2926148147,55.3,45.8,36.3,47.6240846216,6.2666666667
3967.66666667,3056,5406,0.0484825631,6528.4603963775,50.5666666667,40.9333333333,31.3,46.0250560668,6.4533333333
4038.33333333,3038,5378,1.480357251,6533.8405504516,76.9,64.0666666667,51.2333333333,47.8343270028,6.48
4042,3033,5363,0.2218486057,6540.433077037,84.3666666667,72.1,59.8,42.6776475557,6.29
3861.33333333,3037,5358,-1.0525236082,6548.2379761338,52.8,43.4333333333,34.0666666667,47.2565577449,6.28
3818,3015,5315,4.1823136986,6557.2552477418,39.8333333333,31.6333333333,23.5,42.9487419851,6.49
3859.66666667,3007,5291,-0.991808751,6565.6008572883,72.8,62,51.1,47.4374206235,6.58
3896,3012,5268,0.8299239453,6573.2748047732,81.3,70.2333333333,59.1666666667,42.9895542151,6.67
3748,3014,5250,0.8176270489,6580.2770901967,50.4333333333,40.9666666667,31.5,44.6544876886,6.6266666667
3762.33333333,3006,5223,1.545772009,6586.6077135586,35.2,25.1666666667,15.1333333333,40.632874937,6.8433333333
3885,3006,5215,1.1111390274,6592.5900774799,73.7,62.6333333333,51.5333333333,47.4687410907,6.76
3982.33333333,3008,5211,1.6890821556,6598.2241819606,79.4333333333,68.5,57.6,44.7889330434,6.9733333333
3816.66666667,3010,5190,0.7819468032,6603.5100270008,49.6333333333,41.3333333333,33,45.7323161721,6.9033333333
3712,3024,5187,-0.5916083747,6608.4476126004,36.6666666667,27.2666666667,17.8333333333,40.9366613976,6.7333333333
3821.33333333,3013,5176,1.5667873999,6612.1508018,73.7333333333,62.9666666667,52.1,47.6495282431,6.6966666667
3860,3027,5189,0.4205502274,6614.6195945998,81.7666666667,70.7666666667,59.7666666667,42.7464008859,6.6533333333
3611.33333333,3029,5194,0.9714948466,6615.8539909997,57.9,48.2333333333,38.6,46.754703953,6.5633333333
