average_demand,No_of_energy_intensive_industry,no_of_energy_non_Intensive_Industry,gdp_growth,popultion,max temp,mean temp,min temp,load_share,average_retail_sales
2719.66666667,5429,10306,0.042512445,10053.3686203909,32.3666666667,23.5,14.6,31.0133799605,5.2533333333
2864.66666667,5409,10256,0.0616317252,10052.4759722345,67.9,55.9333333333,44,32.3107000526,5.4933333333
2878,5380,10200,-0.5000706814,10050.6906759218,79.5333333333,67.6666666667,55.8333333333,27.9815919108,6.08
2928.66666667,5339,10077,0.0743347295,10048.0127314526,44.8666666667,37.0666666667,29.3,33.3143745497,5.5866666667
2744.33333333,5306,10002,-0.0697162675,10044.4421388271,36.2333333333,28.2666666667,20.3,31.2566438876,5.89
2751.33333333,5265,9934,0.6387928388,10039.669446246,67.9333333333,55.9666666667,43.9666666667,31.8122253912,6.39
3023.66666667,5312,10004,0.1119236499,10033.6946537094,76.6,65.4666666667,54.3333333333,29.9639943184,6.48
2734,5341,10043,-0.7468342637,10026.5177612173,45.8333333333,38.3666666667,30.8666666667,31.4409475984,6.2433333333
2768.33333333,5228,9707,2.2817160819,10018.1387687696,33.1,24.7,16.2666666667,31.3301644786,6.4366666667
2911.33333333,5209,9635,0.145099722,10008.0452642827,67.8666666667,55.5666666667,43.2333333333,32.4226000445,6.4133333333
2866.33333333,5231,9643,0.1731243622,9996.2372477565,78.0666666667,66.2,54.2666666667,28.829583934,6.5433333333
2782.33333333,5215,9574,-2.4104041241,9982.7147191911,45.8,37.9,30,31.0713222156,6.0866666667
2747.33333333,5221,9539,-1.3219966253,9967.4776785865,31.3666666667,22.6666666667,14,30.9071136611,6.5266666667
2708.66666667,5213,9543,-0.4590642074,9953.14739091,65.6333333333,53.9,42.2,31.8891766737,6.8066666667
2690.33333333,5243,9547,-1.339695641,9939.7238561617,76.7333333333,65.1333333333,53.5,28.4882284423,7.2933333333
2546.33333333,5234,9513,-1.3390639624,9927.2070743416,42.5666666667,34.4333333333,26.2,30.2618547716,6.8466666667
2211,4363,9319,-4.3806838658,9915.5970454496,32.0666666667,22.3666666667,12.5666666667,26.6824892393,6.97
2151.33333333,4335,9246,0.3308835755,9905.3506157129,64.5333333333,53.1,41.7,28.2698204117,7.47
2278.66666667,4333,9231,0.0093910719,9896.4677851316,74.3333333333,63.2333333333,52.2333333333,26.7344544388,7.48
2362.33333333,4295,9192,1.5264582413,9888.9485537057,44,36.4,28.8,28.786709452,6.8733333333
2427,4294,9119,1.2341984783,9882.7929214352,35.7333333333,27.3333333333,18.9333333333,29.0253139326,6.81
2604.33333333,4260,9051,3.2401436003,9878.2114999529,69.0666666667,57.4,45.8,31.5281869174,7.2366666667
2505,4233,9002,2.1618835925,9875.2042892588,77.3333333333,66.7333333333,56.1333333333,26.0178645617,7.6
2685,4207,8972,-0.3253436873,9873.771289353,45.4,36.8333333333,28.2666666667,32.0826861035,6.9566666667
2466,4158,8855,0.5089065028,9873.9125002354,30.8,22.3333333333,13.9333333333,28.7904732254,7.1866666667
2606,4137,8794,0.15690882,9874.8891844942,64.4333333333,53.7333333333,43.0666666667,31.5483636657,7.51
2706.33333333,4127,8793,1.2936758422,9876.7013421294,77.8,66.5666666667,55.3666666667,28.1382130727,7.6466666667
2579.66666667,4108,8741,3.2130628124,9879.348973141,48.0666666667,39.8333333333,31.5666666667,31.6019437298,7.1433333333
2546,4142,8797,-0.0153004721,9882.832077529,41.4,32.7333333333,24.0666666667,30.2782843098,7.3666666667
2697.66666667,4148,8824,1.0950013238,9885.9876882726,68.9,56.4666666667,43.9666666667,31.6776264287,7.6633333333
2725.33333333,4156,8898,0.7431576873,9888.8158053718,78.5666666667,66.4666666667,54.3333333333,28.50369544,8.0333333333
2476.66666667,4146,8976,0.0810894608,9891.3164288266,45.8,38.0333333333,30.3,30.099250557,7.8366666667
2439,4167,9140,1.586874151,9893.4895586369,31.9,23.9,15.9,28.829787234,7.59
2555,4194,9299,-0.0459781979,9896.5557871063,64.3333333333,53.2666666667,42.1666666667,31.3099955067,8.0233333333
2623.66666667,4203,9445,0.9054361372,9900.5151142346,76.4,64.9666666667,53.5333333333,28.8378398183,7.99
2586,4177,9502,1.4631899914,9905.367540022,42.0666666667,34.1,26.1666666667,30.649494311,7.4733333333
2539.33333333,4181,9595,-0.3388027746,9911.1130644683,25,15.3666666667,5.7,28.8998482549,7.8066666667
2676,4176,9647,1.6958625829,9915.2728484595,64.9,53.6666666667,42.4333333333,32.3279507107,7.7433333333
2725.33333333,4184,9710,1.7969543377,9917.8468919956,74.2,63.2,52.2,30.7241366352,7.7666666667
2625.33333333,4195,9780,0.8382916891,9918.8351950765,42.4,35.3333333333,28.2333333333,31.6368748745,7.5066666667
2445.33333333,4199,9851,1.5112756277,9918.2377577024,27.5333333333,17.7333333333,7.9333333333,28.2621258235,6.9566666667
2581,4198,9913,1.7516289933,9917.7896796718,65.9666666667,54.3,42.7,31.784409507,7.2
2513.66666667,4233,10076,1.0830147787,9917.4909609847,77.4,66.4666666667,55.4666666667,27.5510576888,7.5233333333
2434.66666667,4206,10054,1.102432992,9917.3416016411,50.1,41.9333333333,33.7333333333,30.2743927713,6.8966666667
