average_demand,No_of_energy_intensive_industry,no_of_energy_non_Intensive_Industry,gdp_growth,popultion,max temp,mean temp,min temp,load_share,average_retail_sales
2376,2736,5111,0.412548454,8663.811804024,55.5,44.6666666667,33.8333333333,22.4858044164,4.7966666667
2594,2734,5102,0.4382565482,8680.4498824144,76.1333333333,64.8,53.4666666667,26.9534497091,4.91
2744.66666667,2753,5109,1.9714929328,8713.7260391951,87,76.9666666667,66.9,21.8814775445,5.5666666667
2545,2765,5115,1.7845268667,8763.6402743663,62.5666666667,51.2666666667,39.9666666667,25.2321623319,5.2733333333
2368.33333333,2747,5112,3.8194605794,8830.1925879278,57.7,46.1666666667,34.6333333333,23.0524642289,5.1233333333
2569.66666667,2775,5115,1.5839498697,8891.6444781813,78.6333333333,66.3333333333,54.0666666667,25.7275397143,5.2033333333
2579.66666667,2789,5105,0.8213547039,8947.9959451267,84.7666666667,74.7,64.5666666667,20.8227950277,5.67
2387.66666667,2806,5097,1.0365171789,8999.2469887641,64.0666666667,52.1,40.1,24.501453737,5.18
2248,2819,5084,-0.0440173321,9045.3976090935,57.5666666667,45.7,33.8666666667,21.0021487964,5.0566666667
2471.66666667,2835,5082,0.5780773519,9092.9136135878,78.1666666667,65.8,53.4666666667,24.0934494411,5.1466666667
2536,2832,5070,0.5329958874,9141.7950022471,87.8,76.2666666667,64.7333333333,19.9146663875,5.9533333333
2423,2871,5083,1.4631285071,9192.0417750714,65.9,54.1333333333,42.3333333333,23.8296616837,5.5833333333
2242.66666667,2885,5091,1.6683083443,9243.6539320606,57.6666666667,45.7666666667,33.8,20.9516691579,5.2266666667
2459.66666667,2896,5086,1.817618305,9290.616822032,78.7333333333,66.8666666667,55,23.9081130119,5.37
2408.33333333,2918,5092,0.7753796004,9332.9304449857,84.6,74.3,63.9333333333,19.7593326952,6
2087.66666667,2910,5088,-1.7845165894,9370.5948009216,61.7333333333,50.3666666667,39,21.040784788,5.7866666667
1863.66666667,2899,5025,-1.6868992873,9403.6098898398,54.7333333333,43.6,32.4666666667,17.3273003378,5.7933333333
2078.66666667,2904,4987,0.2554306729,9435.1983694711,78.2666666667,67.1,55.9333333333,21.0178631614,5.8966666667
2183.66666667,2938,5028,0.4142322944,9465.3602398156,83.8666666667,74.0666666667,64.2666666667,18.1845940319,6.32
2070.33333333,2943,5048,0.2390483088,9494.0955008733,60.8666666667,50.7666666667,40.6333333333,21.1647243236,5.97
1972.33333333,2954,4930,0.4098310637,9521.4041526442,51.4,41,30.6333333333,16.9119958842,5.7866666667
2291,2947,4904,0.4237164527,9547.3319522949,81.8333333333,69.9,57.8666666667,22.0620806985,6.03
2331.33333333,2998,4971,0.7075717194,9571.8788998253,87.9,77.0333333333,66.1,17.8222867773,6.59
2184.66666667,3009,4962,1.8073389644,9595.0449952355,59.7666666667,48.1666666667,36.5333333333,21.101774043,5.8866666667
2091.66666667,3016,4926,-0.469135511,9616.8302385254,55.5666666667,44.1666666667,32.7666666667,18.5010466728,5.83
2272,3027,4932,2.1904459173,9639.1974404312,80.5666666667,68.6666666667,56.7666666667,21.5593863672,5.85
2332.33333333,3038,4938,-0.1550632324,9662.1466009529,86.6,76.2333333333,65.8333333333,18.6387852957,6.4766666667
2158,3053,4966,-0.1636737313,9685.6777200904,64.4666666667,52.5,40.5333333333,22.2995315514,6.03
2067.66666667,3061,5026,1.9174700759,9709.7907978437,61.2,49.4666666667,37.6666666667,20.3183857971,6.1866666667
2325.66666667,3079,5043,-0.3351962966,9733.9897098075,78.6,67.0333333333,55.4666666667,22.7123278753,6.3266666667
2275,3049,5035,1.101821008,9758.2744559819,85.3,75.2666666667,65.2,18.5936904048,6.85
2251.33333333,3042,5031,-0.5503488718,9782.6450363667,62.1,51.1333333333,40.1333333333,22.4013266998,6.1333333333
2057.66666667,3051,5020,1.8195664963,9807.101450962,53.8666666667,43.3,32.6666666667,18.9856677124,6.0766666667
2297.33333333,3077,5027,0.8205201704,9830.6794364153,76.6,66.0333333333,55.3666666667,22.6472134595,6.1566666667
2388.33333333,3051,5036,1.7138668621,9853.3789927266,82.8666666667,73.6,64.3666666667,19.9310133801,6.7533333333
2189,3081,5072,1.5661919175,9875.2001198959,62.2666666667,51.3,40.3,21.3380556278,6.3066666667
2077.66666667,3127,5118,0.505699874,9896.1428179232,52.8,41.2666666667,29.6666666667,17.9170978498,6.46
2339.33333333,3128,5113,0.3955503262,9919.8223699648,79.4666666667,67.6333333333,55.8,22.5470667609,6.3866666667
2378,3112,5107,1.7033916544,9946.2387760208,82.8,73.7333333333,64.6666666667,19.8497495826,6.7366666667
2222.66666667,3101,5110,1.3815413174,9975.3920360911,61.9,50.7666666667,39.6,21.5374677003,6.1233333333
2084.33333333,3149,5159,1.2996836038,10007.2821501758,52.6333333333,41.6666666667,30.6666666667,18.0373265642,6.2933333333
2428.33333333,3169,5159,1.3664479697,10031.1997357394,79.8666666667,68.6333333333,57.4333333333,23.0786289045,6.2733333333
2391.33333333,3152,5108,1.3651348229,10047.1447927817,85.2333333333,75.4,65.5666666667,19.1613247863,6.8266666667
2267.33333333,3179,5112,0.9133199777,10055.1173213029,66.4666666667,56.3666666667,46.3,23.3152807294,6.19
