average_demand,No_of_energy_intensive_industry,no_of_energy_non_Intensive_Industry,gdp_growth,popultion,max temp,mean temp,min temp,load_share,average_retail_sales
9007.66666667,7083,10701,,22660.3623870371,64.1333333333,53.0333333333,41.9666666667,34.7835600922,5.9066666667
9893,7078,10630,1.0118991849,22707.4666322222,84.8666666667,72.2,59.5,34.050388931,6.4466666667
9475.33333333,7110,10680,2.8588360181,22801.6751225924,93.6333333333,81.2,68.8666666667,26.8124280783,7.5033333333
7556.66666667,7120,10642,3.3365763921,22942.9878581478,71.3333333333,57.4333333333,43.6,28.8870766329,8.28
7452.66666667,6902,8772,2.660159852,23131.4048388883,68.6666666667,54.7333333333,40.8,30.7279998901,7.7933333333
7871.33333333,6951,8815,2.1668662705,23298.0416956291,89.2,75.7333333333,62.2666666667,27.6436088641,7.72
8224,6953,8834,1.387530438,23442.8984283703,92.3,80.3666666667,68.3333333333,23.9920648813,7.8633333333
7496.33333333,6952,8821,1.7578860506,23565.9750371118,70.4,57.6333333333,44.8666666667,29.2722610541,7.5633333333
7255,7528,9067,1.6447221042,23667.2715218538,62.6666666667,51.2666666667,39.8333333333,28.2982070651,7.75
7692.66666667,7556,9098,3.777497049,23773.674707009,81.3333333333,70.3333333333,59.2666666667,29.1997216423,7.8933333333
8436,7598,9095,1.2098209394,23885.1845925775,89.9333333333,79.3,68.7333333333,25.6065726369,7.72
8141.66666667,7588,9061,1.8820906784,24001.8011785593,71.9,58.4666666667,45,30.7267489401,7.7333333333
8322.66666667,7476,8868,0.9422794133,24123.5244649545,66.6666666667,52.5666666667,38.4666666667,30.7627859985,8.0533333333
9329.66666667,7512,8875,3.103232425,24246.4195935307,87.4333333333,74.1666666667,60.8666666667,31.3985708036,9.1833333333
8934,7536,8884,0.260265157,24370.486564288,90.1,78.6,67.1,26.022117149,9.5966666667
7807,7522,8860,-3.8141818943,24495.7253772264,70.7666666667,56.8,42.8,30.1327741039,8.4966666667
6867.33333333,7521,8836,-3.9512305631,24622.1360323458,68.7666666667,54.3,39.8666666667,27.6659459895,7.8166666667
7138,7460,8793,-1.7461625103,24744.5502814552,86.1666666667,73.3666666667,60.5666666667,27.0936396877,7.05
7627.33333333,7440,8715,0.8889890088,24862.9681245546,92.4333333333,80.5,68.5333333333,22.6310219664,6.5933333333
7140.66666667,7413,8674,2.2635380369,24977.3895616439,66.8,54.8666666667,42.8666666667,28.2746423103,6.62
7140.66666667,7371,10818,3.2834826886,25087.8145927232,59.6,47.7333333333,35.9,25.9670048608,6.6166666667
7877.33333333,7353,10757,0.205197856,25194.5827680655,85.8666666667,73.8666666667,61.7666666667,28.0421961957,6.49
8759.66666667,7359,10723,1.6349630561,25297.6940876711,92.3666666667,81.1666666667,69.9,24.1372975853,6.4766666667
7810.33333333,7404,10735,2.0251734128,25397.1485515398,71.9666666667,57.6666666667,43.3333333333,29.5622003533,6.0966666667
7632.33333333,7440,10818,2.553860366,25492.9461596716,65.7666666667,51.8333333333,37.9,27.4195866165,6.17
8285.33333333,7484,10812,2.4937094272,25592.6423390556,90.8333333333,76.5333333333,62.2,27.4339701776,6.18
8480,7480,10832,1.1452221502,25696.2370896919,97.9666666667,84.3666666667,70.6666666667,22.2890035659,6.9233333333
7719,7514,10850,2.1069081317,25803.7304115804,69.0333333333,56.6333333333,44.2666666667,28.8359524818,6.0066666667
7254.66666667,7530,10892,2.4133090193,25915.1223047212,67.6333333333,55.1333333333,42.6333333333,27.7694133258,5.7533333333
7532.33333333,7491,10824,0.4262790846,26022.292140089,88.9,76.0333333333,63.1666666667,25.5243925856,5.58
8052,7497,10823,1.2714389543,26125.2399176838,93.5666666667,81.2333333333,68.9,21.9450374744,5.99
7655.66666667,7547,10805,2.5186643638,26223.9656375056,72.1666666667,58.6666666667,45.0666666667,27.4026702302,5.7133333333
7152,7558,10821,1.7053767653,26318.4692995544,65.3666666667,52.2666666667,39.1333333333,26.4702616677,5.6333333333
7847,7577,10839,1.5511809764,26418.2930445521,85.4333333333,72.4333333333,59.4666666667,26.6364181536,5.94
8120,7579,10853,1.9113270239,26523.4368724988,92.9,80.9333333333,68.9666666667,22.137605758,6.2233333333
7677,7603,10826,0.9411525352,26633.9007833943,66.7,54.8,42.8666666667,26.4578163772,5.8566666667
7799.33333333,7658,10891,0.7287826409,26749.6847772389,63,49.2333333333,35.4666666667,25.3370439754,6.1033333333
8658.33333333,7682,10878,2.085868826,26874.0248638811,85.2,72.6666666667,60.1666666667,28.8092544531,5.9633333333
8634.33333333,7724,10926,1.68652892,27006.921043321,91.4666666667,80.2333333333,69.0333333333,23.2840140946,6.3766666667
8106,7767,10959,-0.8343413382,27148.3733155587,68.9666666667,57.2666666667,45.5666666667,27.8908131666,6.22
7687.33333333,7847,11082,-0.3154335458,27298.381680594,60.8,49.4666666667,38.1333333333,25.6998306142,5.8066666667
8474.66666667,7847,11122,0.0244975382,27410.8879543705,83.3,72.5,61.6333333333,28.2259944712,5.4933333333
9052,7855,11100,-0.6036516452,27485.8921368882,94.0666666667,81.9,69.7666666667,23.3604018994,5.5966666667
8630,7869,11091,-1.188567655,27523.394228147,71.3333333333,59.3333333333,47.3,29.1291629163,5.26
