average_demand,No_of_energy_intensive_industry,no_of_energy_non_Intensive_Industry,gdp_growth,popultion,max temp,mean temp,min temp,load_share,average_retail_sales
2052,2493,5097,0.046167017,5540.1707690495,31.6,22.1333333333,12.6666666667,36.426035503,4.9533333333
2139.33333333,2507,5112,0.7230988414,5542.5688614297,68.3666666667,56.6,44.8,37.9067981809,5.35
2218.33333333,2510,5118,1.9210924295,5547.3650461901,79.3333333333,67.4,55.4666666667,34.7048393826,5.6666666667
2077.33333333,2511,5112,3.8998162687,5554.5593233307,42.9,34.1333333333,25.3666666667,36.2852983988,5.4133333333
2022.66666667,3511,5121,1.879605318,5564.1516928515,34.5666666667,25.9,17.2666666667,35.6752307602,5.7233333333
2069.33333333,3482,5047,1.350566429,5573.3899635192,68.8333333333,56.8666666667,44.9,37.4404438816,5.6733333333
2229.66666667,3485,5048,0.6503650875,5582.2741353338,77.1333333333,65.7333333333,54.3666666667,34.8785066222,6.17
2034,3436,4980,0.414606988,5590.8042082953,43.8666666667,35.4666666667,27.1,35.9406290494,5.83
2042,3465,4969,1.1945815394,5598.9801824037,31.3,22.2,13.1,34.8841182165,6.0166666667
2119,3489,4994,1.0580319527,5606.9684990855,68.5,56.2666666667,44.0333333333,37.4249381844,6.27
2200,3497,5006,0.8855373191,5614.7691583409,77.8333333333,66.3333333333,54.8,34.1279280211,6.4433333333
2133,3493,4999,-0.4506888578,5622.3821601698,42.7666666667,34.1666666667,25.5333333333,36.5991763898,6.0566666667
2079,3507,5032,-0.1725851372,5629.8075045723,27.6666666667,17.7666666667,7.8333333333,34.6634802423,6.08
2082,3513,5034,0.0757901637,5637.2530405043,64.4333333333,53.1,41.8,37.7082830234,6.5166666667
2116.66666667,3519,5026,0.5325855576,5644.718767966,77.0666666667,65.3333333333,53.6333333333,34.1232736848,6.91
1973.66666667,3499,4986,-0.5505311893,5652.2046869573,40.5333333333,30.9,21.2666666667,35.0687040986,6.5766666667
1798.66666667,3464,4948,-1.4441364457,5659.7107974782,29.4333333333,18.8666666667,8.3,31.9082254154,6.7433333333
1807.66666667,3447,4942,0.6958812141,5666.5345226953,65.4333333333,53.9,42.3333333333,34.9487658697,6.8166666667
1903.33333333,3445,4928,0.9984445719,5672.6758626085,74.7333333333,63.3,51.8666666667,33.3352793508,6.92
1864,3411,4863,2.9841051974,5678.1348172179,41.4666666667,33.4666666667,25.5666666667,34.2920218311,6.4566666667
1840.33333333,3356,4776,-1.8171216412,5682.9113865235,34.0333333333,24.1666666667,14.3666666667,32.7034711527,6.4633333333
1922.33333333,3384,4798,1.3574605791,5687.7626596363,69.2666666667,57.5666666667,45.8333333333,35.5023393253,6.7333333333
2041.66666667,3378,4782,1.4883550369,5692.6886365564,76.7,66.3666666667,56,32.0127528354,7.1166666667
1921.33333333,3392,4787,1.5191563734,5697.6893172838,43.3,33.7666666667,24.2,34.5874587459,6.8033333333
1878,3376,4769,-0.3272942515,5702.7647018184,28.6,19.5666666667,10.5333333333,32.9627896092,7.08
1935.66666667,3380,4764,1.0778731316,5707.5449749049,63.7666666667,53.3333333333,42.8666666667,36.0302785878,7.29
2077.66666667,3380,4741,1.7449138679,5712.0301365432,77.2,66.2333333333,55.2666666667,33.4873475528,7.64
1911.66666667,3370,4715,0.7103012553,5716.2201867333,46.4333333333,37.4,28.3333333333,34.5836097208,7.24
1915,3375,4727,1.1362614301,5720.1151254753,40.3333333333,31,21.6333333333,33.7941176471,7.27
1980.66666667,3380,4723,1.3639799609,5724.097850782,69.5666666667,57.2666666667,44.9333333333,35.6448710258,7.3066666667
2108.66666667,3375,4716,-0.0804231721,5728.1683626533,79.3666666667,66.5333333333,53.7333333333,33.5774946921,7.7766666667
1885,3363,4695,-0.150366037,5732.3266610894,43.6333333333,34.7666666667,25.9333333333,34.4313200195,7.1933333333
1857.66666667,3382,4716,2.015227794,5736.5727460901,28.6333333333,19.2333333333,9.8,32.4237840354,7.39
1929.66666667,3403,4729,0.3932878867,5740.7836816544,62.7,52.3,41.8666666667,35.5153374233,7.4933333333
2072,3393,4716,0.8464601437,5744.9594677821,77.4666666667,65.7666666667,54,34.1500933963,7.9066666667
1928.66666667,3387,4703,1.6223042894,5749.1001044733,38.7666666667,29.8,20.8666666667,33.8877825934,7.2966666667
1905.33333333,3362,4657,-0.737984193,5753.2055917281,22.3,11.5666666667,0.8666666667,31.725592496,7.5333333333
1965,3365,4671,1.9578535707,5756.9163499387,64.6333333333,53.8,42.9,36.0197971404,7.65
2091.66666667,3340,4644,1.1317344408,5760.2323791053,74.5333333333,63.7333333333,52.9333333333,35.3640667268,7.9566666667
1938.33333333,3308,4607,0.9976465773,5763.1536792279,39.4666666667,31.8,24.1666666667,34.3452837989,7.4566666667
1920,3316,4601,0.0513314084,5765.6802503063,27.7333333333,17.8666666667,8,33.0123796424,7.59
1959,3359,4675,1.2019563434,5767.5751786152,66.8666666667,55.1333333333,43.3333333333,36.5326039659,7.82
2110.66666667,3393,4727,1.252051176,5768.8384641544,77.0666666667,66.4,55.7,34.3197831978,8.1133333333
1930.66666667,3424,4778,1.0181763082,5769.470106924,48.1,39.8666666667,31.6,35.3127667358,7.4833333333
