@relation norm_data_Florida_2005_2015_10

@attribute avg_demand numeric
@attribute Number_of_energy_intensive_industry numeric
@attribute Number_of_energy_non_intensive_industry numeric
@attribute gdp_growth numeric
@attribute population numeric
@attribute max_temp numeric
@attribute mean_temp numeric
@attribute min_temp numeric
@attribute load_share numeric
@attribute average_retail_sales numeric

@data
1576.666667,0.180537,0.010989,0.525965,0,0.244792,0.235364,0.231788,0.958335,0
1637.333333,0.18255,0.003846,0.641713,0.010768,0.707031,0.679809,0.655629,1,0.042694
1700.333333,0.181208,0.001648,1,0.032305,0.988281,0.994026,1,0.338257,0.177419
1683.333333,0.199329,0,0.473312,0.06461,0.402344,0.403823,0.406181,0.983097,0.203036
1540,0.232215,0.270055,0.796958,0.107684,0.292969,0.236559,0.189845,0.9391,0.406072
1717.333333,0.22953,0.266209,0.559145,0.143744,0.852865,0.770609,0.700883,0.932964,0.452562
1729,0.213423,0.26511,0.537587,0.172792,0.976563,0.955795,0.939294,0.412942,0.506641
1590,0.209396,0.25522,0.777957,0.194827,0.447917,0.425329,0.410596,0.805498,0.425996
1522.666667,0.316107,0.031868,0.30445,0.209848,0.286458,0.258065,0.237307,0.816943,0.446869
1585,0.316779,0.046429,0.552615,0.22543,0.779948,0.707288,0.646799,0.76314,0.43074
1692.333333,0.330872,0.053846,0.626757,0.24157,1,0.985663,0.972406,0.288836,0.481025
1611,0.354362,0.051923,0.256219,0.258271,0.5,0.493429,0.487859,0.741939,0.511385
1528,0.524161,0.205769,0.007702,0.27553,0.296875,0.261649,0.230684,0.832424,0.483871
1664,0.477181,0.163736,0.308635,0.290828,0.809896,0.749104,0.697572,0.807179,0.556926
1648,0.502013,0.202747,0.202828,0.304164,0.915365,0.933094,0.948124,0.329968,0.747628
1465.666667,0.534228,0.221703,0,0.315537,0.391927,0.367981,0.346578,0.635679,0.820683
1323,0,0.479945,0.241202,0.324949,0.252604,0.187575,0.135762,0.495644,1
1413.333333,0.002013,0.463187,0.137535,0.337064,0.808594,0.764636,0.728477,0.465857,0.910816
1432.666667,0.022148,0.499725,0.309903,0.351882,0.951823,0.958184,0.96468,0.016742,0.90797
1357.333333,0.028859,0.517857,0.649851,0.369404,0.436198,0.449223,0.461369,0.340682,0.820683
1317.666667,0.491275,0.469231,0.298535,0.389629,0,0,0,0.271061,0.527514
1479.666667,0.52953,0.518132,0.626284,0.411113,0.85026,0.802867,0.763797,0.541879,0.724858
1487,0.545638,0.520604,0.545851,0.433854,1,1,1,0,0.833966
1397.333333,0.583221,0.548352,0.51256,0.457855,0.347656,0.274791,0.214128,0.459672,0.870019
1360,0.600671,0.566758,0.044819,0.483113,0.272135,0.228196,0.190949,0.508132,0.818786
1500.666667,0.621477,0.584615,0.651841,0.50822,0.910156,0.802867,0.711921,0.44701,0.820683
1522,0.661074,0.592308,0.381649,0.533176,0.997396,0.978495,0.96468,0.068793,0.816888
1387.666667,0.689262,0.620055,0.523657,0.557979,0.441406,0.425329,0.4117,0.589019,0.680266
1360.666667,0.716107,0.630495,0.608409,0.582632,0.394531,0.356033,0.3234,0.655509,0.642315
1472,0.73557,0.641484,0.408586,0.60659,0.811198,0.764636,0.725166,0.506414,0.627135
1480.333333,0.76443,0.675824,0.653648,0.629855,0.942708,0.947431,0.951435,0.105,0.606262
1370,0.802013,0.709066,0.308773,0.652426,0.415365,0.396655,0.384106,0.572605,0.529412
1313,0.8,0.726923,0.747254,0.674303,0.286458,0.248507,0.217439,0.589047,0.447818
1447.333333,0.800671,0.746703,0.429996,0.697915,0.773438,0.74552,0.722958,0.466759,0.444023
1467.666667,0.828188,0.775549,0.646315,0.723261,0.920573,0.942652,0.962472,0.109911,0.491461
1375.666667,0.895302,0.819231,0.722424,0.750342,0.486979,0.498208,0.50883,0.434166,0.425996
1338,0.891946,0.838462,0.424046,0.779157,0.208333,0.199522,0.192053,0.462422,0.551233
1440.333333,0.909396,0.874725,0.670781,0.811869,0.790365,0.749104,0.713024,0.436419,0.55408
1483.666667,0.934899,0.90522,0.634644,0.848479,0.960938,0.959379,0.959161,0.063297,0.596774
1374.333333,0.95906,0.931044,0.605365,0.888987,0.404948,0.377539,0.354305,0.495235,0.532258
1317.333333,0.996644,0.967033,0.748212,0.933392,0.248698,0.246117,0.245033,0.435078,0.651803
1448.666667,0.888591,0.904121,0.584038,0.966696,0.875,0.83871,0.810155,0.302552,0.613852
1470,0.955705,0.953571,0.662869,0.988899,0.966146,0.968937,0.97351,0.007413,0.6926
1400.333333,1,1,0.673031,1,0.589844,0.622461,0.649007,0.376781,0.564516
