avg_demand,Number_of_energy_intensive_industry,Number_of_energy_non_intensive_industry,gdp_growth,population,max_temp,mean_temp,min_temp,load_share,average_retail_sales
1576.66666667,0.1805369128,0.010989011,0.5259648694,0,0.2447916667,0.2353643967,0.2317880795,0.9583352252,0
1637.33333333,0.1825503356,0.0038461538,0.6417125427,0.0107683797,0.70703125,0.6798088411,0.6556291391,1,0.0426944972
1700.33333333,0.1812080537,0.0016483516,1,0.0323051391,0.98828125,0.9940262843,1,0.3382571075,0.1774193548
1683.33333333,0.1993288591,0,0.4733118721,0.0646102783,0.40234375,0.403823178,0.4061810155,0.9830972421,0.2030360531
1540,0.2322147651,0.2700549451,0.7969582397,0.1076837971,0.29296875,0.2365591398,0.1898454746,0.9390995988,0.4060721063
1717.33333333,0.2295302013,0.2662087912,0.5591451082,0.1437443729,0.8528645833,0.770609319,0.7008830022,0.9329638165,0.4525616698
1729,0.2134228188,0.2651098901,0.5375873607,0.1727920057,0.9765625,0.9557945042,0.9392935982,0.4129421267,0.5066413662
1590,0.2093959732,0.2552197802,0.7779570625,0.1948266953,0.4479166667,0.4253285544,0.4105960265,0.8054976506,0.4259962049
1522.66666667,0.3161073826,0.0318681319,0.3044499315,0.209848442,0.2864583333,0.2580645161,0.2373068433,0.816942974,0.4468690702
1585,0.3167785235,0.0464285714,0.5526149513,0.2254296717,0.7799479167,0.7072879331,0.646799117,0.7631401713,0.4307400379
1692.33333333,0.3308724832,0.0538461538,0.6267568948,0.2415703846,1,0.9856630824,0.972406181,0.2888360527,0.4810246679
1611,0.3543624161,0.0519230769,0.2562192632,0.2582705807,0.5,0.4934289128,0.4878587196,0.7419393071,0.5113851993
1528,0.5241610738,0.2057692308,0.0077021819,0.2755302598,0.296875,0.2616487455,0.2306843267,0.8324242987,0.4838709677
1664,0.4771812081,0.1637362637,0.3086346159,0.2908279462,0.8098958333,0.7491039427,0.6975717439,0.8071794132,0.5569259962
1648,0.5020134228,0.2027472527,0.2028280419,0.3041636399,0.9153645833,0.9330943847,0.9481236203,0.329968212,0.7476280835
1465.66666667,0.5342281879,0.2217032967,0,0.3155373407,0.3919270833,0.3679808841,0.3465783664,0.6356785235,0.820683112
1323,0,0.4799450549,0.2412021781,0.3249490489,0.2526041667,0.1875746714,0.1357615894,0.495643869,1
1413.33333333,0.0020134228,0.4631868132,0.1375348231,0.337064094,0.80859375,0.7646356033,0.7284768212,0.4658571714,0.9108159393
1432.66666667,0.022147651,0.4997252747,0.3099027404,0.351882476,0.9518229167,0.9581839904,0.9646799117,0.0167423788,0.9079696395
1357.33333333,0.0288590604,0.5178571429,0.6498510547,0.3694041951,0.4361979167,0.449223417,0.4613686534,0.3406823941,0.820683112
1317.66666667,0.4912751678,0.4692307692,0.2985353063,0.3896292512,0,0,0,0.2710612692,0.5275142315
1479.66666667,0.5295302013,0.5181318681,0.6262837087,0.4111126809,0.8502604167,0.8028673835,0.7637969095,0.5418785726,0.724857685
1487,0.5456375839,0.5206043956,0.5458505968,0.4338544842,1,1,1,0,0.8339658444
1397.33333333,0.5832214765,0.5483516484,0.5125604756,0.4578546611,0.34765625,0.27479092,0.2141280353,0.4596716363,0.8700189753
1360,0.6006711409,0.5667582418,0.0448193773,0.4831132117,0.2721354167,0.2281959379,0.1909492274,0.5081324275,0.8187855788
