@relation norm_data_Indiana_2005_2015_10

@attribute avg_demand numeric
@attribute Number_of_energy_intensive_industry numeric
@attribute Number_of_energy_non_intensive_industry numeric
@attribute gdp_growth numeric
@attribute population numeric
@attribute max_temp numeric
@attribute mean_temp numeric
@attribute min_temp numeric
@attribute load_share numeric
@attribute average_retail_sales numeric

@data
3953.666667,0.014942,0.196758,0.473121,0,0.142953,0.184412,0.226981,0.503482,0
4044,0.007194,0.165456,0.607045,0.01243,0.781879,0.773138,0.753747,0.882661,0.079762
4161.333333,0.009408,0.169927,0.619594,0.037291,0.986577,0.999304,1,0.258909,0.144048
4083.666667,0.005534,0.162102,0.509918,0.074581,0.328188,0.354906,0.379729,0.717352,0.086905
4097.666667,0,0.148127,0.684711,0.124302,0.216779,0.250522,0.281941,0.65185,0.197619
4169,0.006087,0.140302,0.600774,0.16902,0.766443,0.76618,0.755889,1,0.329762
4250,0.005534,0.130799,0.611798,0.208735,0.914094,0.946416,0.968594,0.397839,0.341667
4010,0.005534,0.115148,0.581067,0.243447,0.366443,0.39666,0.422555,0.729258,0.235714
3986.333333,0.015495,0.117943,0.593356,0.273156,0.134899,0.166319,0.197002,0.39895,0.216667
4140.666667,0.018262,0.111794,0.778827,0.304262,0.792617,0.780793,0.760171,0.780371,0.284524
4213.333333,0.015495,0.117384,0.633598,0.336765,0.997987,0.990257,0.968594,0.259472,0.372619
4144,0.017156,0.110117,0.572376,0.370665,0.380537,0.411969,0.439686,0.704484,0.270238
4084,0.020476,0.113471,0.447303,0.405962,0.097987,0.13222,0.167024,0.373127,0.329762
4100.666667,0.017709,0.100615,0.479316,0.438134,0.741611,0.745303,0.740899,0.92218,0.425
4117.666667,0.023243,0.116266,0.409951,0.467183,0.945638,0.950592,0.942898,0.405298,0.585714
3707.333333,0.016049,0.110676,0.221023,0.493107,0.324832,0.332637,0.337616,0.41641,0.60119
3420,0.02601,0.083846,0,0.515908,0.143624,0.155184,0.164168,0,0.614286
3411.333333,0.02435,0.074902,0.402383,0.538774,0.750336,0.7627,0.766595,0.470256,0.585714
3681,0.024903,0.073784,0.602162,0.561707,0.875839,0.903967,0.922198,0.309822,0.570238
3669.333333,0.018816,0.061487,0.887654,0.584706,0.316779,0.359777,0.400428,0.478062,0.492857
3678,0.009408,0.03242,0.648032,0.607772,0.079195,0.123173,0.169879,0.119089,0.511905
3855.666667,0.004981,0.011738,0.801153,0.629859,0.830201,0.836465,0.83369,0.661245,0.55119
3934.333333,0.003874,0.010061,0.70202,0.650967,1,1,0.989293,0.071972,0.652381
3798.666667,0.009961,0.015092,0.591334,0.671096,0.338255,0.331246,0.319058,0.521195,0.734524
3875,0.004427,0.019564,0.354549,0.690246,0.105369,0.146834,0.188437,0.281052,0.721429
3875,0.003874,0,0.615092,0.707603,0.75906,0.77801,0.788722,0.715415,0.754762
4006.333333,0.008854,0.00559,0.610028,0.723165,0.957047,0.974252,0.981442,0.192438,0.8
3902,0.016602,0.012856,0.634302,0.736933,0.404698,0.430759,0.453248,0.762879,0.747619
3967.666667,1,1,0.46906,0.748908,0.309396,0.329158,0.346181,0.601255,0.814286
4038.333333,0.990039,0.984349,0.652967,0.764366,0.839597,0.812109,0.773019,0.78413,0.82381
4042,0.987272,0.975964,0.491327,0.783307,0.989933,0.979819,0.95646,0.262909,0.755952
3861.333333,0.989485,0.973169,0.327649,0.805731,0.354362,0.38135,0.405425,0.725731,0.752381
3818,0.97731,0.949134,1,0.831639,0.093289,0.135003,0.179158,0.290311,0.827381
3859.666667,0.972883,0.935718,0.335447,0.855617,0.757047,0.768963,0.770164,0.744012,0.859524
3896,0.97565,0.922862,0.569426,0.877665,0.928188,0.940849,0.942898,0.294436,0.891667
3748,0.976757,0.9128,0.567847,0.897783,0.306711,0.329854,0.350464,0.462722,0.87619
3762.333333,0.97233,0.897708,0.661368,0.915972,0,0,0,0.056231,0.953571
3885,0.97233,0.893236,0.605545,0.93316,0.775168,0.782185,0.779443,0.747177,0.92381
3982.333333,0.973437,0.891001,0.679775,0.949347,0.890604,0.904662,0.90935,0.476311,1
3816.666667,0.974543,0.879262,0.563264,0.964534,0.290604,0.337509,0.382584,0.571665,0.975
3712,0.982291,0.877585,0.386848,0.978721,0.02953,0.043841,0.057816,0.086936,0.914286
3821.333333,0.976204,0.871437,0.664068,0.98936,0.775839,0.789144,0.791577,0.765451,0.90119
3860,0.983951,0.878703,0.516847,0.996453,0.937584,0.951983,0.955746,0.269859,0.885714
3611.333333,0.985058,0.881498,0.58761,1,0.457047,0.481559,0.502498,0.675005,0.853571
