avg_demand,Number_of_energy_intensive_industry,Number_of_energy_non_intensive_industry,gdp_growth,population,max_temp,mean_temp,min_temp,load_share,average_retail_sales
3953.66666667,0.0149418926,0.1967579653,0.4731207343,0,0.1429530201,0.1844119694,0.2269807281,0.5034815724,0
4044,0.0071942446,0.1654555618,0.6070445789,0.0124302399,0.7818791946,0.7731384829,0.7537473233,0.8826606344,0.0797619048
4161.33333333,0.0094078583,0.1699273337,0.6195939061,0.0372907198,0.9865771812,0.9993041058,1,0.2589088936,0.1440476191
4083.66666667,0.0055340343,0.1621017328,0.5099177504,0.0745814396,0.3281879195,0.3549060543,0.3797287652,0.7173518131,0.0869047619
4097.66666667,0,0.1481274455,0.6847112172,0.1243023994,0.2167785235,0.2505219207,0.2819414704,0.6518501249,0.1976190476
4169,0.0060874377,0.1403018446,0.6007743696,0.1690203133,0.766442953,0.7661795407,0.755888651,1,0.3297619048
4250,0.0055340343,0.1307993292,0.6117979219,0.2087351813,0.9140939597,0.9464161447,0.9685938615,0.3978385296,0.3416666667
4010,0.0055340343,0.1151481274,0.5810667047,0.2434470034,0.366442953,0.3966597077,0.4225553176,0.7292578228,0.2357142857
3986.33333333,0.0154952961,0.1179429849,0.5933562703,0.2731557797,0.1348993289,0.1663187196,0.1970021413,0.3989498248,0.2166666667
4140.66666667,0.0182623132,0.1117942985,0.7788268089,0.3042616313,0.7926174497,0.7807933194,0.7601713062,0.7803714308,0.2845238095
4213.33333333,0.0154952961,0.1173840134,0.6335977612,0.3367645581,0.9979865772,0.9902574809,0.9685938615,0.2594716144,0.3726190476
4144,0.0171555064,0.110117384,0.572375997,0.3706645602,0.3805369128,0.4119693807,0.4396859386,0.7044843122,0.2702380953
4084,0.020475927,0.113471213,0.4473028639,0.4059616375,0.0979865772,0.1322199026,0.1670235546,0.3731272658,0.3297619048
4100.66666667,0.0177089098,0.1006148686,0.4793155334,0.4381344769,0.7416107383,0.745302714,0.7408993576,0.9221803501,0.425
4117.66666667,0.0232429441,0.1162660704,0.4099507504,0.4671830784,0.9456375839,0.9505915101,0.9428979301,0.4052981657,0.5857142857
3707.33333333,0.0160486995,0.1106763555,0.2210231012,0.4931074419,0.3248322148,0.3326374391,0.3376159886,0.4164102883,0.6011904762
3420,0.0260099613,0.0838457239,0,0.5159075675,0.1436241611,0.155184412,0.1641684511,0,0.6142857143
3411.33333333,0.024349751,0.07490218,0.402382817,0.5387741124,0.7503355705,0.7627000696,0.7665952891,0.4702555322,0.5857142857
3681,0.0249031544,0.073784237,0.6021623325,0.5617070769,0.8758389262,0.9039665971,0.9221984297,0.3098218614,0.5702380953
3669.33333333,0.0188157167,0.0614868642,0.8876536369,0.5847064607,0.3167785235,0.3597773138,0.4004282655,0.4780617939,0.4928571429
3678,0.0094078583,0.0324203466,0.6480315898,0.607772264,0.0791946309,0.1231732777,0.1698786581,0.1190893522,0.5119047619
3855.66666667,0.0049806309,0.0117384013,0.8011532771,0.6298591566,0.8302013423,0.8364648573,0.8336902213,0.661245112,0.5511904762
3934.33333333,0.003873824,0.0100614869,0.7020201217,0.6509671385,1,1,0.9892933619,0.0719716996,0.6523809524
3798.66666667,0.0099612618,0.0150922303,0.591333988,0.6710962097,0.3382550336,0.3312456507,0.3190578158,0.5211952668,0.7345238095
3875,0.0044272274,0.0195640022,0.3545488076,0.6902463701,0.1053691275,0.1468336813,0.1884368308,0.2810522367,0.7214285714
3875,0.003873824,0,0.6150916449,0.7076026221,0.7590604027,0.7780097425,0.7887223412,0.7154154465,0.7547619048
4006.33333333,0.0088544549,0.0055897149,0.6100279476,0.7231649656,0.9570469799,0.9742519137,0.9814418273,0.1924379998,0.8
3902,0.0166021029,0.0128563443,0.6343017726,0.7369334005,0.4046979866,0.4307585247,0.4532476802,0.7628790613,0.7476190476
3967.66666667,1,1,0.4690598605,0.748907927,0.3093959732,0.329157968,0.3461812991,0.6012545043,0.8142857143
4038.33333333,0.9900387382,0.9843487982,0.6529666825,0.7643657423,0.8395973154,0.8121085595,0.7730192719,0.784129671,0.8238095238
4042,0.9872717211,0.9759642258,0.4913266121,0.7833068463,0.9899328859,0.9798190675,0.9564596717,0.2629094409,0.755952381
3861.33333333,0.9894853348,0.9731693684,0.32764906,0.8057312391,0.3543624161,0.3813500348,0.4054246966,0.7257306511,0.7523809524
3818,0.9773104593,0.9491335942,1,0.8316389207,0.0932885906,0.1350034795,0.1791577445,0.2903107758,0.8273809524
3859.66666667,0.9728832319,0.9357182784,0.3354471421,0.8556168381,0.7570469799,0.7689631176,0.7701641685,0.7440116772,0.8595238095
3896,0.975650249,0.922861934,0.5694264655,0.8776649916,0.9281879195,0.940848991,0.9428979301,0.2944359421,0.8916666667
3748,0.9767570559,0.9128004472,0.5678470793,0.8977833809,0.3067114094,0.3298538622,0.3504639543,0.4627219519,0.8761904762
3762.33333333,0.9723298284,0.8977082169,0.6613684095,0.9159720062,0,0,0,0.0562305371,0.9535714286
3885,0.9723298284,0.8932364449,0.6055451094,0.9331600411,0.7751677852,0.7821851079,0.7794432548,0.7471774472,0.9238095238
3982.33333333,0.9734366353,0.891000559,0.6797748481,0.9493474857,0.8906040268,0.9046624913,0.909350464,0.476311247,1
3816.66666667,0.9745434422,0.8792621576,0.5632643873,0.96453434,0.2906040268,0.3375086987,0.3825838687,0.5716653167,0.975
3712,0.9822910902,0.8775852432,0.3868479944,0.978720604,0.0295302013,0.0438413361,0.0578158458,0.0869362753,0.9142857143
3821.33333333,0.9762036525,0.8714365567,0.6640675799,0.989360302,0.7758389262,0.7891440501,0.7915774447,0.7654508191,0.9011904762
