@relation norm_data_Michigan_2005_2015_10

@attribute avg_demand numeric
@attribute Number_of_energy_intensive_industry numeric
@attribute Number_of_energy_non_intensive_industry numeric
@attribute gdp_growth numeric
@attribute population numeric
@attribute max_temp numeric
@attribute mean_temp numeric
@attribute min_temp numeric
@attribute load_share numeric
@attribute average_retail_sales numeric

@data
2719.666667,1,1,0.580409,1,0.135086,0.155513,0.176471,0.684644,0
2864.666667,0.98486,0.968051,0.582918,0.99503,0.786675,0.775653,0.759418,0.862445,0.086331
2878,0.962907,0.932268,0.509212,0.985089,1,1,0.994052,0.269132,0.297362
2928.666667,0.93187,0.853674,0.584585,0.970178,0.364303,0.414914,0.467944,1,0.119904
2744.333333,0.906889,0.805751,0.565682,0.950297,0.20599,0.246654,0.289491,0.717984,0.229017
2751.333333,0.875852,0.7623,0.658652,0.923723,0.787286,0.776291,0.758757,0.794128,0.408873
3023.666667,0.911431,0.807029,0.589517,0.890455,0.94621,0.957935,0.964309,0.540824,0.441247
2734,0.933384,0.831949,0.476831,0.850494,0.382029,0.439771,0.499009,0.743243,0.356115
2768.333333,0.847843,0.617252,0.874236,0.80384,0.148533,0.178458,0.209518,0.72806,0.425659
2911.333333,0.83346,0.571246,0.59387,0.747639,0.786064,0.768642,0.744217,0.877781,0.417266
2866.333333,0.850114,0.576358,0.597548,0.681892,0.973105,0.971957,0.962987,0.385351,0.464029
2782.333333,0.838002,0.532268,0.258539,0.606598,0.381418,0.430848,0.481824,0.692586,0.29976
2747.333333,0.842544,0.509904,0.401359,0.521758,0.116748,0.139579,0.164574,0.670081,0.458034
2708.666667,0.836488,0.51246,0.514592,0.441967,0.74511,0.736775,0.723728,0.804674,0.558753
2690.333333,0.859198,0.515016,0.399036,0.367225,0.948655,0.951562,0.947786,0.338568,0.733813
2546.333333,0.852385,0.493291,0.399119,0.297531,0.322127,0.364563,0.406477,0.581647,0.573141
2211,0.193036,0.369329,0,0.232886,0.129584,0.133843,0.136153,0.091088,0.617506
2151.333333,0.17184,0.322684,0.618249,0.175834,0.724939,0.721479,0.713814,0.308635,0.797362
2278.666667,0.170326,0.313099,0.576063,0.126374,0.904645,0.915233,0.92267,0.09821,0.800959
2362.333333,0.141559,0.288179,0.775131,0.084507,0.348411,0.402167,0.45803,0.379475,0.582734
2427,0.140802,0.241534,0.736781,0.050233,0.196822,0.228808,0.262393,0.412176,0.559952
2604.333333,0.115064,0.198083,1,0.024723,0.808068,0.803697,0.795109,0.7552,0.713429
2505,0.094625,0.166773,0.858511,0.007979,0.959658,0.982154,1,0,0.844125
2685,0.074943,0.147604,0.532139,0,0.374083,0.410453,0.447455,0.831195,0.61271
2466,0.03785,0.072843,0.641609,0.000786,0.106357,0.133206,0.163252,0.379991,0.695444
2606,0.021953,0.033866,0.59542,0.006224,0.723105,0.733588,0.740912,0.757965,0.811751
2706.333333,0.014383,0.033227,0.744586,0.016315,0.968215,0.978967,0.984798,0.290598,0.860911
2579.666667,0,0,0.996446,0.031057,0.422983,0.467814,0.512888,0.765308,0.679856
2546,0.025738,0.035783,0.572823,0.050451,0.300733,0.332059,0.364177,0.583898,0.760192
2697.666667,0.03028,0.053035,0.718516,0.068021,0.805012,0.785851,0.758757,0.775681,0.866906
2725.333333,0.036336,0.100319,0.672347,0.083768,0.982274,0.977055,0.964309,0.340688,1
2476.666667,0.028766,0.15016,0.585471,0.097692,0.381418,0.433397,0.487773,0.559361,0.929257
2439,0.044663,0.254952,0.783059,0.109792,0.126528,0.163161,0.202247,0.385379,0.840528
2555,0.065102,0.35655,0.568797,0.126864,0.721271,0.724665,0.723067,0.725296,0.996403
2623.666667,0.071915,0.44984,0.693641,0.14891,0.942543,0.948375,0.948447,0.386483,0.984412
2586,0.052233,0.486262,0.766829,0.175928,0.312958,0.35819,0.405816,0.634773,0.798561
2539.333333,0.055261,0.545687,0.530373,0.207919,0,0,0,0.394981,0.918465
2676,0.051476,0.578914,0.79736,0.231081,0.731663,0.732314,0.728354,0.864809,0.895683
2725.333333,0.057532,0.619169,0.810626,0.245413,0.9022,0.914595,0.922009,0.645003,0.904077
2625.333333,0.065859,0.663898,0.684831,0.250916,0.319071,0.381772,0.446794,0.770096,0.810552
2445.333333,0.068887,0.709265,0.773139,0.24759,0.046455,0.045252,0.044283,0.30758,0.61271
2581,0.06813,0.748882,0.804678,0.245095,0.751222,0.744423,0.733642,0.790316,0.70024
2513.666667,0.094625,0.853035,0.716943,0.243432,0.96088,0.977055,0.986781,0.210127,0.816547
2434.666667,0.074186,0.838978,0.719491,0.2426,0.460269,0.507967,0.555849,0.583365,0.591127
