avg_demand,Number_of_energy_intensive_industry,Number_of_energy_non_intensive_industry,gdp_growth,population,max_temp,mean_temp,min_temp,load_share,average_retail_sales
2719.66666667,1,1,0.5804089294,1,0.1350855746,0.1555130656,0.1764705882,0.6846444954,0
2864.66666667,0.9848599546,0.9680511182,0.5829177489,0.9950297248,0.7866748166,0.7756532823,0.7594183741,0.8624445798,0.0863309353
2878,0.9629068887,0.9322683706,0.5092115261,0.9850891745,1,1,0.9940515532,0.2691324143,0.2973621103
2928.66666667,0.9318697956,0.8536741214,0.5845846288,0.9701783489,0.3643031785,0.4149139579,0.4679444812,1,0.1199040768
2744.33333333,0.9068887207,0.8057507987,0.5656823511,0.9502972482,0.20599022,0.2466539197,0.2894910773,0.7179842602,0.2290167866
2751.33333333,0.8758516276,0.7623003195,0.658652453,0.9237228412,0.7872860636,0.776290631,0.7587574356,0.7941277185,0.4088729017
3023.66666667,0.9114307343,0.807028754,0.5895170224,0.8904551278,0.9462102689,0.9579349904,0.9643093192,0.5408242794,0.4412470024
2734,0.9333838002,0.8319488818,0.4768313701,0.850494108,0.3820293399,0.4397705545,0.4990085922,0.7432434199,0.3561151079
2768.33333333,0.8478425435,0.6172523962,0.8742357674,0.8038397819,0.1485330073,0.1784576163,0.2095175149,0.7280603913,0.4256594724
2911.33333333,0.8334595004,0.5712460064,0.5938703649,0.7476390331,0.7860635697,0.7686424474,0.7442167878,0.8777806778,0.4172661871
2866.33333333,0.8501135503,0.5763578275,0.5975477398,0.6818918616,0.9731051345,0.9719566603,0.9629874422,0.3853512675,0.464028777
2782.33333333,0.838001514,0.5322683706,0.2585388202,0.6065982674,0.3814180929,0.4308476737,0.4818241904,0.6925855871,0.2997601919
2747.33333333,0.8425435276,0.5099041534,0.4013589409,0.5217582505,0.1167481663,0.1395793499,0.1645736946,0.6700805053,0.4580335732
2708.66666667,0.8364875095,0.5124600639,0.5145923689,0.4419670443,0.7451100244,0.7367750159,0.7237276933,0.8046740321,0.5587529976
2690.33333333,0.8591975776,0.5150159744,0.3990364876,0.3672246488,0.9486552567,0.9515615041,0.9477858559,0.3385678749,0.7338129496
2546.33333333,0.8523845572,0.4932907348,0.3991193761,0.297531064,0.3221271394,0.3645634162,0.4064771976,0.5816465977,0.5731414868
2211,0.1930355791,0.3693290735,0,0.2328862899,0.1295843521,0.1338432122,0.1361533377,0.0910880241,0.6175059952
2151.33333333,0.1718395155,0.3226837061,0.6182488007,0.1758340515,0.7249388753,0.7214786488,0.7138136153,0.308634656,0.7973621103
2278.66666667,0.170325511,0.3130990415,0.5760627645,0.1263743489,0.9046454768,0.9152326322,0.9226701917,0.0982099495,0.8009592326
2362.33333333,0.1415594247,0.2881789137,0.7751313271,0.0845071821,0.3484107579,0.4021669853,0.4580304032,0.3794752416,0.5827338129
2427,0.1408024224,0.2415335463,0.7367811919,0.050232551,0.1968215159,0.2288081581,0.2623925975,0.4121764208,0.5599520384
2604.33333333,0.1150643452,0.1980830671,1,0.0247231436,0.8080684597,0.8036966221,0.7951090549,0.7551997276,0.7134292566
2505,0.0946252839,0.1667731629,0.8585114264,0.0079789599,0.9596577017,0.9821542384,1,0,0.8441247003
2685,0.0749432248,0.1476038339,0.5321390881,0,0.3740831296,0.4104525175,0.4474553866,0.8311948523,0.6127098322
2466,0.0378501136,0.0728434505,0.6416088529,0.0007862638,0.1063569682,0.1332058636,0.1632518176,0.3799910736,0.6954436451
2606,0.0219530659,0.0338658147,0.595419947,0.006224453,0.7231051345,0.7335882728,0.7409120952,0.7579649878,0.8117505995
2706.33333333,0.0143830431,0.0332268371,0.7445857728,0.0163145675,0.9682151589,0.9789674952,0.9847984137,0.2905976302,0.860911271
2579.66666667,0,0,0.9964464767,0.0310566073,0.4229828851,0.4678138942,0.5128883014,0.7653082333,0.6798561151
2546,0.0257380772,0.0357827476,0.5728227562,0.0504505725,0.3007334963,0.3320586361,0.3641771315,0.5838982959,0.7601918465
2697.66666667,0.0302800908,0.0530351438,0.7185158323,0.0680210494,0.8050122249,0.7858508604,0.7587574356,0.7756806852,0.8669064748
2725.33333333,0.036336109,0.1003194888,0.6723471402,0.0837680378,0.9822738386,0.9770554493,0.9643093192,0.3406876551,1
2476.66666667,0.0287660863,0.1501597444,0.5854709802,0.0976915379,0.3814180929,0.4333970682,0.4877726371,0.5593613936,0.9292565947
2439,0.044663134,0.2549520767,0.7830590633,0.1097915496,0.1265281174,0.1631612492,0.202247191,0.3853791301,0.8405275779
2555,0.0651021953,0.3565495208,0.5687972451,0.1268643449,0.7212713936,0.724665392,0.7230667548,0.7252961969,0.9964028777
2623.66666667,0.0719152157,0.4498402556,0.6936412124,0.1489099238,0.9425427873,0.948374761,0.9484467944,0.3864827515,0.98441247
2586,0.0522331567,0.4862619808,0.7668293087,0.1759282863,0.3129584352,0.3581899299,0.4058162591,0.6347733035,0.7985611511
2539.33333333,0.0552611658,0.545686901,0.5303729955,0.2079194323,0,0,0,0.3949811208,0.9184652278
2676,0.0514761544,0.578913738,0.7973604541,0.2310811573,0.7316625917,0.7323135755,0.7283542631,0.864808814,0.8956834532
2725.33333333,0.0575321726,0.6191693291,0.8106256481,0.2454134613,0.902200489,0.9145952836,0.9220092531,0.6450031702,0.9040767386
2625.33333333,0.0658591976,0.6638977636,0.6848305618,0.2509163442,0.3190709046,0.3817718292,0.4467944481,0.7700956104,0.8105515588
2445.33333333,0.0688872067,0.7092651757,0.7731390744,0.247589806,0.0464547677,0.0452517527,0.0442828817,0.3075800986,0.6127098322
2581,0.0681302044,0.7488817891,0.804678086,0.2450949024,0.7512224939,0.7444231995,0.7336417713,0.7903155008,0.7002398082
2513.66666667,0.0946252839,0.8530351438,0.7169429657,0.2434316333,0.9608801956,0.9770554493,0.9867812293,0.210126914,0.8165467626
2434.66666667,0.0741862226,0.8389776358,0.7194910109,0.2425999988,0.4602689487,0.5079668579,0.555849306,0.5833649535,0.5911270983
