avg_demand,Number_of_energy_intensive_industry,Number_of_energy_non_intensive_industry,gdp_growth,population,max_temp,mean_temp,min_temp,load_share,average_retail_sales
2376,0.004494382,0.8117647059,0.3920546029,0,0.1123287671,0.1017576318,0.1119068935,0.555079835,0
2594,0,0.7764705882,0.3966420759,0.0119586088,0.6776255708,0.6604995375,0.6392121755,1,0.0551948052
2744.66666667,0.0426966292,0.8039215686,0.6702399758,0.0358758264,0.9753424658,0.9981498612,1,0.4948966302,0.375
2545,0.0696629213,0.8274509804,0.6368768731,0.0717516527,0.3059360731,0.2849213691,0.2766338406,0.8285818561,0.2321428571
2368.33333333,0.0292134831,0.8156862745,1,0.1195860879,0.1726027397,0.1433857539,0.133393017,0.6115118838,0.1590909091
2569.66666667,0.0921348315,0.8274509804,0.6010849719,0.1637545969,0.7461187215,0.703052729,0.6553267681,0.8779150892,0.198051948
2579.66666667,0.1235955056,0.7882352941,0.4650039097,0.2042571797,0.9141552511,0.9352451434,0.9373321397,0.3894654312,0.4253246753
2387.66666667,0.1617977528,0.7568627451,0.503398512,0.2410938364,0.3470319635,0.3080481036,0.2802148612,0.7558126527,0.1866883117
2248,0.191011236,0.7058823529,0.3105828601,0.2742645669,0.1689497717,0.1304347826,0.1128021486,0.407326766,0.1266233766
2471.66666667,0.2269662921,0.6980392157,0.4215923567,0.3084166664,0.7333333333,0.6882516189,0.6392121755,0.7151806583,0.1704545455
2536,0.2202247191,0.6509803922,0.4135478085,0.343550135,0.997260274,0.9787234043,0.9418084154,0.2990274671,0.5633116883
2423,0.3078651685,0.7019607843,0.5795250406,0.3796649726,0.397260274,0.3644773358,0.3401969561,0.6889107813,0.3831168831
2242.66666667,0.3393258427,0.7333333333,0.6161382942,0.4167611792,0.1716894977,0.1322849214,0.1110116383,0.4022996415,0.2094155844
2459.66666667,0.3640449438,0.7137254902,0.6427818647,0.450515728,0.7488584475,0.717853839,0.6803939123,0.6967235273,0.2792207792
2408.33333333,0.4134831461,0.737254902,0.4567998963,0.4809286189,0.9095890411,0.9241443108,0.9203222919,0.2835582238,0.586038961
2087.66666667,0.395505618,0.7215686275,0,0.507999852,0.2831050228,0.2599444958,0.2506714414,0.4111744152,0.4821428572
1863.66666667,0.3707865169,0.4745098039,0.0174192898,0.5317294272,0.0913242009,0.0721554117,0.0752014324,0.0413589965,0.4853896104
2078.66666667,0.3820224719,0.3254901961,0.3640177682,0.5544336279,0.7360730594,0.7243293247,0.7054610564,0.4088917152,0.5357142857
2183.66666667,0.4584269663,0.4862745098,0.3923550753,0.576112454,0.8894977169,0.9176688252,0.9292748433,0.126734452,0.7418831169
2070.33333333,0.4696629213,0.5647058824,0.3610944223,0.5967659055,0.2593607306,0.2710453284,0.2945389436,0.4235172031,0.5714285714
1972.33333333,0.4943820225,0.1019607843,0.391569699,0.6163939825,0,0,0.0259623993,0,0.4821428572
2291,0.4786516854,0,0.394047473,0.6350295728,0.8337899543,0.8020351526,0.757385855,0.5128823878,0.6006493506
2331.33333333,0.593258427,0.262745098,0.4446999397,0.6526726765,1,1,0.9785138765,0.0906532967,0.8733766234
2184.66666667,0.6179775281,0.2274509804,0.6409475709,0.6693232936,0.2292237443,0.1988899167,0.1844225604,0.4172481627,0.5308441559
2091.66666667,0.6337078652,0.0862745098,0.2347227761,0.684981424,0.1141552511,0.0878815911,0.0832587287,0.1582490759,0.5032467532
2272,0.6584269663,0.1098039216,0.7093109745,0.7010578369,0.799086758,0.7678075856,0.7278424351,0.4628204804,0.512987013
2332.33333333,0.6831460674,0.1333333333,0.2907673083,0.7175525322,0.9643835616,0.9777983349,0.9713518353,0.171966076,0.8181818182
2158,0.7168539326,0.2431372549,0.2892308104,0.7344655098,0.3579908676,0.3191489362,0.2918531782,0.5365294469,0.6006493506
2067.66666667,0.7348314607,0.4784313725,0.6605998836,0.7517967699,0.2684931507,0.2349676226,0.2148612355,0.3392327418,0.676948052
2325.66666667,0.7752808989,0.5450980392,0.2586235185,0.7691897232,0.7452054795,0.7224791859,0.6929274843,0.5776386659,0.7451298701
2275,0.7078651685,0.5137254902,0.5150516339,0.7866443699,0.9287671233,0.9509713229,0.9543419875,0.1674752033,1
2251.33333333,0.6921348315,0.4980392157,0.2202306827,0.8041607098,0.2931506849,0.2812210916,0.2811101164,0.546666938,0.650974026
2057.66666667,0.7123595506,0.4549019608,0.6431295091,0.821738743,0.0675799087,0.0638297872,0.0805729633,0.2065111153,0.6233766234
2297.33333333,0.7707865169,0.4823529412,0.4648549916,0.8386854058,0.6904109589,0.6947271045,0.6902417189,0.5711541053,0.6623376623
2388.33333333,0.7123595506,0.5176470588,0.6242679701,0.8550006982,0.8621004566,0.9047178538,0.9319606088,0.3006554179,0.9529220779
2189,0.7797752809,0.6588235294,0.5979161595,0.8706846202,0.297716895,0.2858464385,0.2855863921,0.4407787777,0.7353896104
2077.66666667,0.8831460674,0.8392156863,0.4086769797,0.8857371717,0.0383561644,0.007400555,0,0.1000952634,0.8100649351
2339.33333333,0.8853932584,0.8196078431,0.3890213771,0.9027568355,0.7689497717,0.7391304348,0.7018800358,0.5611807787,0.7743506494
2378,0.8494382022,0.7960784314,0.6223987248,0.9217436114,0.8602739726,0.9084181314,0.9400179051,0.292562586,0.9448051948
2222.66666667,0.8247191011,0.8078431373,0.5649662394,0.9426974994,0.2876712329,0.2710453284,0.266786034,0.4606376623,0.6461038961
2084.33333333,0.9325842697,1,0.5503591646,0.9656184997,0.0337899543,0.0185013876,0.0268576544,0.1120685012,0.7288961039
2428.33333333,0.9775280899,1,0.5622729116,0.9828092498,0.7799086758,0.7668825162,0.745747538,0.6141175499,0.7191558441
2391.33333333,0.9393258427,0.8,0.5620385875,0.9942697499,0.9269406393,0.9546716004,0.9641897941,0.2240043067,0.9886363637
2267.33333333,1,0.8156862745,0.481414625,1,0.4127853881,0.4264569843,0.4467323187,0.6376850361,0.6785714286
