@relation norm_data_N_C_2005_2015_10

@attribute avg_demand numeric
@attribute Number_of_energy_intensive_industry numeric
@attribute Number_of_energy_non_intensive_industry numeric
@attribute gdp_growth numeric
@attribute population numeric
@attribute max_temp numeric
@attribute mean_temp numeric
@attribute min_temp numeric
@attribute load_share numeric
@attribute average_retail_sales numeric

@data
2376,0.004494,0.811765,0.392055,0,0.112329,0.101758,0.111907,0.55508,0
2594,0,0.776471,0.396642,0.011959,0.677626,0.6605,0.639212,1,0.055195
2744.666667,0.042697,0.803922,0.67024,0.035876,0.975342,0.99815,1,0.494897,0.375
2545,0.069663,0.827451,0.636877,0.071752,0.305936,0.284921,0.276634,0.828582,0.232143
2368.333333,0.029213,0.815686,1,0.119586,0.172603,0.143386,0.133393,0.611512,0.159091
2569.666667,0.092135,0.827451,0.601085,0.163755,0.746119,0.703053,0.655327,0.877915,0.198052
2579.666667,0.123596,0.788235,0.465004,0.204257,0.914155,0.935245,0.937332,0.389465,0.425325
2387.666667,0.161798,0.756863,0.503399,0.241094,0.347032,0.308048,0.280215,0.755813,0.186688
2248,0.191011,0.705882,0.310583,0.274265,0.16895,0.130435,0.112802,0.407327,0.126623
2471.666667,0.226966,0.698039,0.421592,0.308417,0.733333,0.688252,0.639212,0.715181,0.170455
2536,0.220225,0.65098,0.413548,0.34355,0.99726,0.978723,0.941808,0.299027,0.563312
2423,0.307865,0.701961,0.579525,0.379665,0.39726,0.364477,0.340197,0.688911,0.383117
2242.666667,0.339326,0.733333,0.616138,0.416761,0.171689,0.132285,0.111012,0.4023,0.209416
2459.666667,0.364045,0.713725,0.642782,0.450516,0.748858,0.717854,0.680394,0.696724,0.279221
2408.333333,0.413483,0.737255,0.4568,0.480929,0.909589,0.924144,0.920322,0.283558,0.586039
2087.666667,0.395506,0.721569,0,0.508,0.283105,0.259944,0.250671,0.411174,0.482143
1863.666667,0.370787,0.47451,0.017419,0.531729,0.091324,0.072155,0.075201,0.041359,0.48539
2078.666667,0.382022,0.32549,0.364018,0.554434,0.736073,0.724329,0.705461,0.408892,0.535714
2183.666667,0.458427,0.486275,0.392355,0.576112,0.889498,0.917669,0.929275,0.126734,0.741883
2070.333333,0.469663,0.564706,0.361094,0.596766,0.259361,0.271045,0.294539,0.423517,0.571429
1972.333333,0.494382,0.101961,0.39157,0.616394,0,0,0.025962,0,0.482143
2291,0.478652,0,0.394047,0.63503,0.83379,0.802035,0.757386,0.512882,0.600649
2331.333333,0.593258,0.262745,0.4447,0.652673,1,1,0.978514,0.090653,0.873377
2184.666667,0.617978,0.227451,0.640948,0.669323,0.229224,0.19889,0.184423,0.417248,0.530844
2091.666667,0.633708,0.086275,0.234723,0.684981,0.114155,0.087882,0.083259,0.158249,0.503247
2272,0.658427,0.109804,0.709311,0.701058,0.799087,0.767808,0.727842,0.46282,0.512987
2332.333333,0.683146,0.133333,0.290767,0.717553,0.964384,0.977798,0.971352,0.171966,0.818182
2158,0.716854,0.243137,0.289231,0.734466,0.357991,0.319149,0.291853,0.536529,0.600649
2067.666667,0.734831,0.478431,0.6606,0.751797,0.268493,0.234968,0.214861,0.339233,0.676948
2325.666667,0.775281,0.545098,0.258624,0.76919,0.745205,0.722479,0.692927,0.577639,0.74513
2275,0.707865,0.513725,0.515052,0.786644,0.928767,0.950971,0.954342,0.167475,1
2251.333333,0.692135,0.498039,0.220231,0.804161,0.293151,0.281221,0.28111,0.546667,0.650974
2057.666667,0.71236,0.454902,0.64313,0.821739,0.06758,0.06383,0.080573,0.206511,0.623377
2297.333333,0.770787,0.482353,0.464855,0.838685,0.690411,0.694727,0.690242,0.571154,0.662338
2388.333333,0.71236,0.517647,0.624268,0.855001,0.8621,0.904718,0.931961,0.300655,0.952922
2189,0.779775,0.658824,0.597916,0.870685,0.297717,0.285846,0.285586,0.440779,0.73539
2077.666667,0.883146,0.839216,0.408677,0.885737,0.038356,0.007401,0,0.100095,0.810065
2339.333333,0.885393,0.819608,0.389021,0.902757,0.76895,0.73913,0.70188,0.561181,0.774351
2378,0.849438,0.796078,0.622399,0.921744,0.860274,0.908418,0.940018,0.292563,0.944805
2222.666667,0.824719,0.807843,0.564966,0.942697,0.287671,0.271045,0.266786,0.460638,0.646104
