avg_demand,Number_of_energy_intensive_industry,Number_of_energy_non_intensive_industry,gdp_growth,population,max_temp,mean_temp,min_temp,load_share,average_retail_sales
9007.66666667,0.1871768356,0.8280228758,0.5216066816,0,0.1181581234,0.1446769791,0.1846590909,1,0.1491160646
9893,0.1820062048,0.7990196078,0.6421664726,0.0096861889,0.6585577758,0.6678798908,0.6827651515,0.9428928715,0.2736356649
9475.33333333,0.215098242,0.8194444444,0.8811368343,0.0290585668,0.887054735,0.9135577798,0.9488636364,0.3791238874,0.5172943889
7556.66666667,0.2254395036,0.8039215686,0.9429504209,0.0581171336,0.3058210252,0.2647861692,0.2310606061,0.540719471,0.6963873943
7452.66666667,0,0.0400326797,0.855430641,0.0968618893,0.2363162467,0.1910828025,0.1515151515,0.6841100551,0.5841660261
7871.33333333,0.050672182,0.0575980392,0.7916046652,0.131127932,0.7715030408,0.7643312102,0.7613636364,0.4438650427,0.567255957
8224,0.0527404343,0.0653594771,0.6907684252,0.1609152617,0.8523023458,0.8908098271,0.9337121212,0.1594441563,0.6003074558
7496.33333333,0.0517063082,0.0600490196,0.7386877763,0.1862238784,0.2814943527,0.2702456779,0.2670454545,0.5707217098,0.5311299001
7255,0.6473629783,0.1605392157,0.7240457871,0.207053782,0.0799304952,0.0964513194,0.1240530303,0.4948520776,0.5741737125
7692.66666667,0.6763185109,0.1732026144,1,0.228933792,0.5664639444,0.6169244768,0.6761363636,0.5650715728,0.6072252114
8436,0.7197518097,0.1719771242,0.6677750545,0.2518639083,0.7906168549,0.8616924477,0.9450757576,0.2851991052,0.567255957
8141.66666667,0.7094105481,0.1580882353,0.7547582907,0.2758441309,0.3205907906,0.2929936306,0.2708333333,0.6840126179,0.570330515
8322.66666667,0.5935884178,0.079248366,0.6331585511,0.3008744597,0.1841876629,0.1319381256,0.0852272727,0.6868195654,0.6441199078
9329.66666667,0.6308169597,0.0821078431,0.9127586509,0.3261457581,0.7254561251,0.7215650591,0.7215909091,0.7363412139,0.904688701
8934,0.6556359876,0.0857843137,0.5449144971,0.3516580259,0.7949609036,0.8425841674,0.8986742424,0.3175661091,1
7807,0.6411582213,0.0759803922,0.0177323714,0.3774112632,0.2910512598,0.2474977252,0.2083333333,0.6377475722,0.7463489623
6867.33333333,0.6401240951,0.0661764706,0,0.40340547,0.2389226759,0.1792538672,0.125,0.4456048944,0.5895465027
7138,0.5770423992,0.0486111111,0.2853080304,0.4285778836,0.6924413553,0.6997270246,0.7130681818,0.4010276234,0.4127594158
7627.33333333,0.5563598759,0.016748366,0.626263444,0.4529285042,0.8557775847,0.8944494995,0.9393939394,0.0534317314,0.3074558032
7140.66666667,0.5284384695,0,0.804112774,0.4764573316,0.1876629018,0.194722475,0.2102272727,0.4930166051,0.3136049193
7140.66666667,0.4850051706,0.8758169935,0.9360807645,0.499164366,0,0,0.0123106061,0.3132733809,0.3128362798
7877.33333333,0.4663908997,0.8508986928,0.537789482,0.52111943,0.6846220678,0.7133757962,0.7471590909,0.474911242,0.2836279785
8759.66666667,0.4725956567,0.8370098039,0.7227830892,0.5423225236,0.8540399652,0.9126478617,0.978219697,0.1707564162,0.2805534205
7810.33333333,0.519131334,0.8419117647,0.7732713942,0.562773647,0.3223284101,0.271155596,0.2234848485,0.5933052506,0.1929285165
7632.33333333,0.5563598759,0.8758169935,0.8416768265,0.5824727999,0.1607298002,0.1119199272,0.0691287879,0.4264158194,0.2098385857
8285.33333333,0.6018614271,0.8733660131,0.8338940527,0.6029736279,0.8140747176,0.7861692448,0.759469697,0.4275361634,0.2121445042
8480,0.5977249224,0.8815359477,0.6594167849,0.624276131,1,1,1,0.0267917191,0.3835511145
7719,0.632885212,0.8888888889,0.7838468373,0.6463803091,0.2458731538,0.2429481347,0.25,0.5367373811,0.1721752498
7254.66666667,0.6494312306,0.9060457516,0.8234912526,0.6692861622,0.2093831451,0.2020018198,0.2035984848,0.4536640254,0.1137586472
7532.33333333,0.6091003102,0.8782679739,0.5663946082,0.6913238208,0.7636837533,0.7725204732,0.7869318182,0.2787980532,0.0737893928
8052,0.6153050672,0.8778594771,0.6757476495,0.7124932848,0.8853171156,0.9144676979,0.9498106061,0,0.1683320523
7655.66666667,0.6670113754,0.8705065359,0.8371229071,0.7327945543,0.3275412685,0.2984531392,0.2727272727,0.4250981922,0.1045349731
7152,0.6783867632,0.8770424837,0.7318937362,0.7522276292,0.1503040834,0.1237488626,0.1041666667,0.3524723465,0.0860876249
7847,0.6980351603,0.8843954248,0.7119427434,0.7727546889,0.6733275413,0.6742493176,0.6818181818,0.365414372,0.1568024596
8120,0.7001034126,0.8901143791,0.7585411055,0.7943757334,0.8679409209,0.9062784349,0.9517045455,0.0149992557,0.2221368178
7677,0.7249224405,0.8790849673,0.6330127472,0.8170907628,0.1850564726,0.1929026388,0.2102272727,0.3515029756,0.137586472
7799.33333333,0.7817993795,0.9056372549,0.605534758,0.8408997769,0.0886185925,0.0409463148,0,0.2642053608,0.1944657955
8658.33333333,0.8066184074,0.9003267974,0.7811246161,0.8664682064,0.6672458732,0.6806187443,0.7017045455,0.5346578561,0.1621829362
8634.33333333,0.8500517063,0.9199346405,0.7294550625,0.8937960512,0.8305821025,0.8871701547,0.9535984848,0.1042936684,0.2574942352
8106,0.8945191313,0.9334150327,0.4032862046,0.9228833113,0.2441355343,0.2602365787,0.2869318182,0.4631199297,0.2213681783
7687.33333333,0.9772492244,0.9836601307,0.4704263366,0.9537299868,0.0312771503,0.0473157416,0.0757575758,0.2924630233,0.1260568793
8474.66666667,0.9772492244,1,0.514409137,0.9768649934,0.6177237185,0.6760691538,0.7433712121,0.4892273966,0.0538047656
9052,0.9855222337,0.9910130719,0.433134545,0.9922883311,0.8983492615,0.9326660601,0.9744318182,0.1102435589,0.0776325903
8630,1,0.9873366013,0.3574537811,1,0.3058210252,0.3166515014,0.3361742424,0.5595757125,0
