avg_demand,Number_of_energy_intensive_industry,Number_of_energy_non_intensive_industry,gdp_growth,population,max_temp,mean_temp,min_temp,load_share,average_retail_sales
2052,0,0.9538461538,0.3259242426,0,0.1629672897,0.1892537313,0.2140266022,0.7604411253,0
2139.33333333,0.0136452242,0.9826923077,0.4443323546,0.0104583485,0.8072429907,0.8065671642,0.7968561064,1,0.1255274262
2218.33333333,0.0165692008,0.9942307692,0.6538839724,0.0313750454,0.9994158878,1,0.9903264813,0.4819847516,0.2257383966
2077.33333333,0.0175438596,0.9826923077,1,0.0627500908,0.3609813084,0.4041791045,0.4443772672,0.7376725732,0.1455696203
2022.66666667,0.992202729,1,0.6466270961,0.1045834847,0.214953271,0.2567164179,0.2974607013,0.6389753821,0.2436708861
2069.33333333,0.9639376218,0.8576923077,0.554088241,0.144872614,0.8154205607,0.8113432836,0.7986698912,0.9245528586,0.2278481013
2229.66666667,0.9668615984,0.8596153846,0.4316098526,0.1836174787,0.960864486,0.9701492537,0.9703748489,0.5100807653,0.3850210971
2034,0.9191033138,0.7288461538,0.3903713254,0.2208180787,0.3779205607,0.4280597015,0.4758162031,0.6819117124,0.2774261603
2042,0.9473684211,0.7076923077,0.526803549,0.2564744142,0.1577102804,0.1904477612,0.2218863362,0.5109886131,0.3364978903
2119,0.9707602339,0.7557692308,0.5029184573,0.2913123547,0.8095794393,0.8005970149,0.7829504232,0.9220443355,0.4166666667
2200,0.9785575049,0.7788461538,0.4727459005,0.3253319001,0.9731308411,0.9808955224,0.9782345828,0.3886516074,0.4715189873
2133,0.9746588694,0.7653846154,0.2390148021,0.3585330507,0.3586448598,0.4047761194,0.4474002418,0.7884519853,0.3491561182
2079,0.9883040936,0.8288461538,0.2876603752,0.3909158062,0.0940420561,0.1110447761,0.1263603386,0.4752936395,0.3565400844
2082,0.9941520468,0.8326923077,0.3311058883,0.4233866192,0.738317757,0.743880597,0.7424425635,0.9678840719,0.4947257384
2116.66666667,1,0.8173076923,0.4110079969,0.4559454898,0.9596962617,0.9629850746,0.9570737606,0.3878986255,0.6191983122
1973.66666667,0.9805068226,0.7403846154,0.2215504999,0.4885924179,0.3195093458,0.3462686567,0.3700120919,0.5408510529,0.5137130802
1798.66666667,0.9463937622,0.6673076923,0.0652421281,0.5213274035,0.125,0.1307462687,0.1348246675,0.029546488,0.5664556962
1807.66666667,0.9298245614,0.6557692308,0.4395714795,0.5510864306,0.7558411215,0.7582089552,0.7521160822,0.521447358,0.5896624473
1903.33333333,0.9278752437,0.6288461538,0.4924955033,0.5778694993,0.9188084112,0.9265671642,0.9250302297,0.2604163228,0.6223628692
1864,0.8947368421,0.5038461538,0.8398249053,0.6016766095,0.335864486,0.392238806,0.4480048368,0.4151988246,0.4757383966
1840.33333333,0.8411306043,0.3365384615,0,0.6225077612,0.2056074766,0.2256716418,0.2448609432,0.158201928,0.4778481013
1922.33333333,0.8684210526,0.3788461538,0.5552941575,0.6436647046,0.8230140187,0.823880597,0.815598549,0.6110048786,0.5632911392
2041.66666667,0.8625730994,0.3480769231,0.5781900609,0.6651474397,0.953271028,0.9814925373,1,0.0464570108,0.6845991561
1921.33333333,0.8762183236,0.3576923077,0.5835777941,0.6869559664,0.3679906542,0.3976119403,0.423216445,0.4629948259,0.585443038
1878,0.8606237817,0.3230769231,0.2605988404,0.7090902847,0.1103971963,0.1432835821,0.1753325272,0.2001546585,0.6729957806
1935.66666667,0.8645224172,0.3134615385,0.5063890527,0.729937589,0.726635514,0.7480597015,0.761789601,0.6964152806,0.7394514768
2077.66666667,0.8645224172,0.2692307692,0.6230670274,0.7494978794,0.9620327103,0.9791044776,0.9866989117,0.2850180283,0.8502109705
1911.66666667,0.8547758285,0.2192307692,0.442093816,0.7677711559,0.4228971963,0.4626865672,0.4981862152,0.4623721278,0.723628692
1915,0.8596491228,0.2423076923,0.5166022647,0.7847574184,0.3160046729,0.3480597015,0.376662636,0.3346475197,0.7331223629
1980.66666667,0.8645224172,0.2346153846,0.5564345201,0.8021265279,0.828271028,0.8185074627,0.7992744861,0.6340637619,0.7447257384
2108.66666667,0.8596491228,0.2211538462,0.3037812368,0.8198784844,1,0.9844776119,0.9588875453,0.2996020988,0.8934599156
1885,0.8479532164,0.1807692308,0.2915469138,0.8380132879,0.3738317757,0.4155223881,0.4546553809,0.4377345879,0.7088607595
1857.66666667,0.8664717349,0.2211538462,0.6703500188,0.8565309384,0.1109813084,0.1373134328,0.1620314389,0.1129539405,0.7710970464
1929.66666667,0.8869395712,0.2461538462,0.3866422135,0.8748952983,0.7079439252,0.7295522388,0.7436517533,0.6131077205,0.8037974684
2072,0.8771929825,0.2211538462,0.4659105673,0.8931063676,0.9667056075,0.9707462687,0.9637243047,0.3922375381,0.9345991561
1928.66666667,0.8713450292,0.1961538462,0.6016203053,0.9111641462,0.2885514019,0.3265671642,0.3627569528,0.3498007036,0.7415611815
1905.33333333,0.8469785575,0.1076923077,0.1887614428,0.9290686343,0,0,0,0,0.8164556962
1965,0.8499025341,0.1346153846,0.6603141877,0.9452516649,0.7418224299,0.7564179104,0.7623941959,0.6947195844,0.8533755274
2091.66666667,0.8255360624,0.0826923077,0.5158104091,0.9597132381,0.9153037383,0.9343283582,0.9443772672,0.588635036,0.9504219409
1938.33333333,0.7943469786,0.0115384615,0.492355919,0.972453354,0.300817757,0.3623880597,0.4226118501,0.4238155849,0.7921940928
1920,0.8021442495,0,0.3268275918,0.9834720124,0.0952102804,0.1128358209,0.1293833132,0.2081773706,0.8343881857
1959,0.8440545809,0.1423076923,0.528093541,0.9917360062,0.7809579439,0.7802985075,0.7702539299,0.7776818496,0.9071729958
2110.66666667,0.8771929825,0.2423076923,0.5368560697,0.9972453354,0.9596962617,0.9820895522,0.9945586457,0.4196900789,1
1930.66666667,0.9074074074,0.3403846154,0.4959469552,1,0.4521028037,0.5068656716,0.5574365175,0.5803356857,0.8006329114
